GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,34,139,4,26,5,47,6,15,2,4
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2.beanutils,DefaultBeanFactory,7,257,3,27,1,69,3,28,0,16
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,0,90,0,2,0,17,0,10,0,9
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2.beanutils,BeanHelper,100,386,11,39,26,110,7,42,0,24
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,5,30,0,0,1,11,1,5,1,5
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,70,295,10,36,7,65,9,26,0,12
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,0,153,0,26,0,37,0,20,0,7
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2.beanutils,ConstructorArg,3,115,1,13,0,27,1,17,0,11
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,49,315,8,28,12,72,7,36,0,25
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,XMLPropertiesConfiguration,77,295,14,20,15,81,14,17,2,12
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,XMLListReference,0,150,1,19,0,39,1,17,0,8
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,XMLConfiguration.new DefaultHandler() {...},0,8,0,0,0,3,0,2,0,2
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,JSONConfiguration,19,61,0,0,8,14,1,4,1,4
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,PropertiesConfiguration,34,485,9,59,10,144,9,53,0,28
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesReader,1,101,2,14,1,28,2,10,0,4
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,DatabaseConfiguration.JdbcOperation,4,148,1,11,2,33,1,11,0,6
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,PropertiesConfigurationLayout,13,653,4,80,5,175,4,75,0,37
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,DynamicCombinedConfiguration.ConfigData,0,21,0,0,0,8,0,4,0,4
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,XMLPropertiesConfiguration.XMLPropertiesHandler,0,71,0,8,0,18,0,8,0,4
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,DataConfiguration,22,704,2,10,4,128,4,100,2,96
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,0,35,0,2,0,10,0,7,0,6
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet,0,28,0,2,0,9,0,4,0,3
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},5,13,0,0,1,3,1,2,1,2
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,30,0,0,0,5,0,2,0,2
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedVisitor,0,21,0,4,0,6,0,5,0,3
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.Entry,13,20,0,0,3,6,1,3,1,3
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,PrefixedKeysIterator,9,75,3,13,2,18,3,10,0,5
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,13,81,1,9,4,27,1,15,0,11
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,XMLConfiguration.XMLBuilderVisitor,18,370,6,48,4,107,6,33,0,12
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},1,40,1,1,0,5,1,2,0,2
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,AbstractYAMLBasedConfiguration,15,205,2,18,4,45,2,17,1,8
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,INIConfiguration,15,845,5,127,3,231,6,90,1,29
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,AbstractConfiguration.new EventListener() {...},8,6,0,0,2,2,1,1,1,1
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,BaseHierarchicalConfiguration.new EventListener() {...},0,11,0,0,0,4,0,2,0,2
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,0,24,0,2,0,7,0,4,0,3
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedKeysVisitor,0,96,0,6,0,22,0,9,0,6
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,PropertiesConfiguration.JupPropertiesWriter,0,42,0,0,0,10,0,2,0,2
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler.ImmutableIterator,0,19,0,0,0,7,0,4,0,4
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,PropertiesConfiguration.PropertiesReader,0,208,1,13,0,57,1,22,0,16
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,CombinedConfiguration,1,716,3,67,0,213,3,68,0,36
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,DatabaseConfiguration,36,222,0,18,12,73,6,30,6,21
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,ConfigurationUtils.new EventSource() {...},0,6,0,0,0,4,0,3,0,3
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,ConfigurationConverter,0,76,0,6,0,26,0,8,0,5
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,0,29,0,0,0,8,0,4,0,4
"commons-configuration-master (2 Apr, 2019 4:52:47 PM)/commons-configuration-master/src/main/java",org.apache.commons.configuration2,XMLPropertiesConfiguration.new EntityResolver() {...},0,15,0,0,0,3,0,2,0,2
