GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,DiskFileUpload,49,8,0,0,16,3,8,1,8,1
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,InvalidFileNameException,0,10,0,0,0,4,0,2,0,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase.SizeException,3,13,0,0,1,5,1,2,1,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadException,33,15,4,0,12,6,5,3,3,3
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,MultipartStream.IllegalBoundaryException,7,0,0,0,4,0,2,0,2,0
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,DefaultFileItem,0,9,0,0,0,2,0,1,0,1
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUpload,0,16,0,0,0,8,0,4,0,4
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,MultipartStream.ItemInputStream,56,293,12,34,16,65,11,23,2,9
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase.InvalidContentTypeException,8,4,0,0,4,2,2,1,2,1
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileItemStream.ItemSkippedException,3,0,0,0,1,0,1,0,1,0
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase.SizeLimitExceededException,12,6,0,0,4,2,2,1,2,1
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase.FileSizeLimitExceededException,6,14,0,0,2,6,2,3,2,3
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase.IOFileUploadException,0,10,0,0,0,4,0,2,0,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl,46,344,12,38,14,85,12,18,0,5
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,DefaultFileItemFactory,0,20,0,0,0,6,0,3,0,3
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase,155,453,20,38,41,125,29,29,13,16
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase.UnknownSizeException,7,0,0,0,4,0,2,0,2,0
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,ParameterParser,16,438,8,72,5,89,9,43,1,11
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase.FileUploadIOException,0,9,0,0,0,4,0,2,0,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,FileUploadBase.FileItemIteratorImpl.FileItemStreamImpl,9,130,2,10,2,33,2,13,0,9
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,MultipartStream.MalformedStreamException,3,4,0,0,2,2,1,1,1,1
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,MultipartStream,108,495,11,37,32,106,14,30,5,15
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload,MultipartStream.ProgressNotifier,0,41,0,2,0,13,0,5,0,4
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.portlet,PortletRequestContext,23,30,0,0,5,10,1,6,1,6
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.portlet,PortletFileUpload,23,11,0,0,5,3,4,2,4,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.disk,DiskFileItem,131,298,19,31,34,80,22,30,7,20
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.disk,DiskFileItemFactory,20,56,1,1,8,18,5,7,4,7
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.util.mime,ParseException,4,0,0,0,2,0,1,0,1,0
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.util.mime,MimeUtility,92,268,11,29,15,70,10,14,0,4
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.util.mime,Base64Decoder,0,416,1,21,0,37,1,12,0,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.util.mime,QuotedPrintableDecoder,0,104,0,14,0,29,0,9,0,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.util,FileItemHeadersImpl,0,79,0,6,0,20,0,8,0,5
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.util,Streams,27,108,2,18,7,32,4,11,2,3
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.util,LimitedInputStream,22,42,2,4,6,14,2,7,1,5
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.servlet,ServletRequestContext,23,30,0,0,5,10,1,6,1,6
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.servlet,ServletFileUpload,13,28,2,0,3,7,2,5,1,5
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/main/java",org.apache.commons.fileupload.servlet,FileCleanerCleanup,36,0,0,0,11,0,6,0,6,0
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/test/java",org.apache.commons.fileupload,HttpServletRequestFactory,39,18,2,0,7,4,3,2,2,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/test/java",org.apache.commons.fileupload,StreamingTest,34,434,6,18,12,96,6,19,0,13
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/test/java",org.apache.commons.fileupload,StreamingTest.new FilterInputStream() {...},8,44,4,4,2,8,3,4,0,3
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/test/java",org.apache.commons.fileupload,StreamingTest.new InputStream() {...},4,18,0,0,1,2,1,2,1,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/test/java",org.apache.commons.fileupload,FileItemHeadersTest,0,144,0,0,0,39,0,2,0,2
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/test/java",org.apache.commons.fileupload,DiskFileUploadTest,19,18,0,0,7,10,0,4,0,4
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/test/java",org.apache.commons.fileupload,DefaultFileItemTest,231,598,14,2,50,74,9,10,2,9
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/test/java",org.apache.commons.fileupload,Util,3,51,0,0,1,7,1,4,1,4
"commons-fileupload-1.4-src (3 Apr, 2019 8:55:08 PM)/commons-fileupload-1.4-src/src/test/java",org.apache.commons.fileupload,ParameterParserTest,0,289,0,0,0,62,0,6,0,6
